Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,8.850000,8.970000,8.340000,8.780000,8.236733,944056400
2019-04-01,8.860000,10.500000,8.860000,10.450000,9.803402,938067400
2019-05-01,10.480000,10.500000,9.320000,9.520000,9.074224,800091600
2019-06-01,9.620000,10.310000,9.460000,10.230000,9.750978,627584700
2019-07-01,10.340000,10.560000,9.400000,9.530000,9.083755,891313400
2019-08-01,9.530000,9.620000,8.700000,9.170000,8.871069,749401800
2019-09-01,9.180000,9.650000,9.040000,9.160000,8.861395,659445200
2019-10-01,9.190000,9.320000,8.440000,8.590000,8.309977,888712200
2019-11-01,8.640000,9.150000,8.640000,9.060000,8.908496,669268700
2019-12-01,9.080000,9.570000,8.800000,9.300000,9.144482,746135500
2020-01-01,9.290000,9.420000,8.730000,8.820000,8.672508,1088852400
2020-02-01,8.850000,9.240000,6.670000,6.960000,6.960000,1640048800
2020-03-01,7.110000,7.340000,3.960000,4.830000,4.830000,2622835900
2020-04-01,4.630000,5.750000,4.170000,5.090000,5.090000,1955129900
2020-05-01,5.020000,6.090000,4.520000,5.710000,5.710000,1805567900
2020-06-01,5.730000,7.740000,5.670000,6.080000,6.080000,2162095800
2020-07-01,6.100000,7.060000,5.740000,6.610000,6.610000,1641654800
2020-08-01,6.650000,7.380000,6.530000,6.820000,6.820000,1115145500
2020-09-01,6.770000,7.400000,6.410000,6.660000,6.660000,1285263100
2020-10-01,6.710000,8.350000,6.600000,7.730000,7.730000,1420983100
2020-11-01,7.830000,9.500000,7.630000,9.080000,9.080000,1434081400
2020-12-01,9.160000,9.490000,8.750000,8.790000,8.790000,1237575200
2021-01-01,8.810000,12.150000,8.430000,10.530000,10.530000,1923500600
2021-02-01,10.650000,11.900000,10.360000,11.510000,11.510000,540457200
2021-02-05,11.800000,11.900000,11.300000,11.510000,11.510000,113402102
